id,Smiles
0,CNC(=O)[C@H](C)NC(=O)[C@H](CCCCNC(=O)C=C(C)C)NC(=O)[C@H](C)NC(C)=O
1,CC[C@@H]1C(=O)Nc2ccc(-c3c(C)noc3C)cc2N1Cc1ccccc1
2,CCCN(CCC)CCCN=C(S)Nc1ccc2nc(N3CCN(CC)CC3)cc(C)c2c1
3,O=C1/C(=C/c2ccc(O)c(Br)c2)CCC/C1=C\c1ccc(O)c(Br)c1
4,CC(=O)N1c2ccc(-c3cc[nH]c3)cc2[C@H](NC(=O)OC(C)C)C[C@@H]1C
5,Cc1noc(C)c1-c1ccc2c(c1)C(O)(C1CCCC1)C(=O)N2
6,COc1ccccc1N(C(=O)CCl)c1cn(C(C)=O)c2ccccc12
7,Cc1cccc(C(=O)Nc2cc(-c3cnc4ccccc4c3)ccc2N2CCN(C)CC2)c1
8,CN(C)c1ccc(-c2nnc(Nc3ncc(C(=O)NO)cn3)s2)cc1
9,O=c1[nH]cnc2c(-n3cc(CCN4CCC(c5cccc(F)c5)CC4)cn3)nccc12
10,CCN1/C(=C/c2ccc3cc(C)ccc3[n+]2CC)Sc2cc(C)c(C)cc21.[I-]
11,COc1cc(OC)c2c(=O)cc(-c3cc(C)c(OC[C@@H](F)CN4CCCCC4)c(C)c3)oc2c1
12,O=C(NO)c1ccc2c(c1)nc(CCc1ccccc1)n2CCCO
13,O=C(NO)c1ccc(N(Cc2ccc(C(F)(F)F)cc2)C(=O)CN(Cc2ccccc2C(F)(F)F)S(=O)(=O)c2ccc(F)cc2F)cc1
14,Cc1cc(-c2nc3ccc(OC(C)C)nc3n2[C@@H](C)c2ccccn2)nn(C)c1=O
15,Cc1ccc(N(CCCCCCC(=O)NO)c2ccccn2)nc1
16,CCc1c(C(=O)N(C)Cc2cccc(C(N)=O)c2)[nH]c(C)c1C(C)=O
17,O=c1cc(-c2ccc(Cl)cc2)nc(NN=C2CCCC2)[nH]1
18,Oc1c(Br)cc(/C=C/c2ccc3cccc(O)c3n2)cc1Br
19,CNC(=O)c1ccc(C(=O)NO)cc1
20,O=C1Oc2ccc3ccccc3c2CC1C(=O)c1cccs1
21,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1CC1)C(=O)N[C@@H](CCCC[N+](C)(C)C)C(=O)N[C@@H](CO)C(N)=O
